Date,GMHF_Mean,Mkt_RF,SMB,HML,RF,MOM,RMW,CMA,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK,CS_factor,DGS10,DEF,DIV,GDP,INFLTN,MKT,RREL,TERM,UNEMP,VIX
200010,-0.0073,-2.76,-3.76,5.52,0.56,-4.63,9.65,4.7,-0.24,-0.01,-0.14,-0.16,-0.11,2.56,5.77,0.79,16.32,0.05,173.9,-2.76,0.39,-0.56,3.9,23.63
200011,0.0025,-10.72,-2.79,11.3,0.51,-2.41,13.31,8.51,0.17,-0.14,-0.15,0.01,-0.02,2.64,5.48,0.83,16.3,-0.12,174.2,-10.72,0.33,-0.64,3.9,29.65
200012,0.0461,1.19,0.97,7.33,0.5,6.7,1.83,5.72,0.05,0.14,-0.05,0.09,-0.08,2.88,5.12,0.81,16.27,0.09,174.6,1.19,0.44,-0.7,3.9,26.85
200101,0.0215,3.13,6.57,-4.9,0.54,-25.06,-4.43,-6.54,-0.06,-0.12,-0.04,0.6,-0.25,2.62,5.19,0.78,16.17,0.52,175.6,3.13,0.52,-0.12,4.2,22.02
200102,-0.0171,-10.05,-0.74,12.9,0.38,12.51,9,9.58,-0.07,-0.13,0.01,0.01,-0.04,2.88,4.92,0.77,16.07,0.1,176,-10.05,0.37,0.09,4.2,28.35
200103,0.0083,-7.26,0.34,6.45,0.42,8.35,3.38,3.95,-0.06,0.1,0.12,0.07,0.06,3.04,4.93,0.86,15.97,0.22,176.1,-7.26,0.31,0.35,4.3,28.64
200104,-0.0012,7.94,0.52,-4.69,0.39,-7.97,-2.71,-3.97,0.32,-0.24,-0.13,0.03,-0.13,2.73,5.35,0.87,15.88,-0.35,176.4,7.94,0.07,1.18,4.4,25.48
200105,-0.001,0.72,2.6,3.14,0.32,2.12,0.18,2.19,0.01,0.06,-0.03,-0.07,-0.12,2.65,5.43,0.78,15.78,-0.31,177.3,0.72,0.02,1.69,4.3,22.64
200106,0.0043,-1.94,6.05,-1.06,0.28,0.35,2.04,-1.8,-0.06,-0.09,-0.03,0,-0.15,2.65,5.42,0.79,15.69,-0.08,177.7,-1.94,0.12,1.72,4.5,19.06
200107,-0.003,-2.13,-4.35,5.58,0.3,5.47,7.17,3,-0.01,0.01,-0.06,-0.08,-0.07,2.78,5.07,0.84,15.71,1.39,177.4,-2.13,0.12,1.64,4.6,21.62
200108,0.0057,-6.46,2.49,2.5,0.31,5.54,3.95,6.5,0.02,0.16,-0.18,0.01,0.05,2.9,4.85,0.83,15.72,1.63,177.4,-6.46,0.1,1.53,4.9,24.92
200109,0.0063,-9.25,-6.13,1.6,0.28,11.53,4.93,3.28,-0.06,0.08,0.37,0.99,0.37,3.42,4.6,0.86,15.74,-0.82,178.1,-9.25,1.18,2.04,5,31.93
200110,0.0271,2.46,7.63,-8.1,0.22,-8.41,-2.62,-4.6,0.44,-0.17,-0.05,0.09,-0.1,3.38,4.3,0.88,15.74,-1.64,177.6,2.46,1.65,2.37,5.3,33.56
200111,0.0014,7.54,-0.41,2,0.17,-8.58,-3.76,-1.66,0.07,-0.1,-0.11,0.02,-0.07,3.1,4.78,0.84,15.74,0.14,177.5,7.54,1.93,2.75,5.5,23.84
200112,0.0151,1.61,4.57,1.1,0.15,-0.02,0.31,-0.32,0.3,0.02,-0.06,-0.14,-0.16,2.85,5.07,1.28,15.74,0.13,177.4,1.61,2.1,3.37,5.7,23.8
200201,0.0041,-1.44,1.19,3.33,0.14,3.69,4.36,2.84,-0.21,-0.06,-0.19,-0.14,-0.25,2.85,5.07,1.32,15.74,1.91,177.7,-1.44,2.14,3.35,5.7,21.09
200202,-0.0121,-2.29,-1.1,2.5,0.13,6.76,7.62,5.14,-0.14,-0.25,0.05,-0.14,-0.22,2.98,4.88,1.38,15.73,0.01,178,-2.29,2.06,3.15,5.7,21.59
200203,0.0211,4.24,4.23,1.11,0.13,-1.67,-1.35,0.58,0.09,-0.06,0.08,0.12,-0.17,2.81,5.42,1.3,15.73,-0.07,178.5,4.24,1.98,3.46,5.7,17.4
200204,0.0039,-5.2,5.94,3.93,0.15,7.96,4.57,5.39,-0.24,0.08,-0.1,-0.13,-0.09,2.84,5.11,1.27,15.83,0.28,179.3,-5.2,2.06,3.47,5.9,21.91
200205,0.0187,-1.38,-3.21,1.69,0.14,2.97,2.27,2.41,-0.15,0.22,-0.01,-0.06,-0.16,2.98,5.08,1.34,15.94,0.26,179.5,-1.38,2.03,3.4,5.8,19.98
200206,0.012,-7.21,4.26,0.13,0.13,6.15,3.62,2.54,0.12,0.55,-0.03,-0.02,0.13,3.13,4.86,1.32,16.04,0.14,179.6,-7.21,2.05,3.19,5.8,25.4
200207,-0.0034,-8.18,-5.3,-3.41,0.15,3.34,4.2,-0.73,0.11,-0.03,0,0.33,0.42,3.25,4.51,1.37,15.96,-0.4,180,-8.18,2.07,2.94,5.8,32.03
200208,0.0063,0.5,-2.44,2.49,0.14,1.77,1.15,-1.61,0.13,-0.1,-0.17,-0.05,-0.08,3.32,4.14,1.21,15.88,-0.15,180.5,0.5,2.12,2.61,5.7,32.64
200209,0.0093,-10.35,2.57,1.31,0.14,9.09,3.27,-2.29,0.19,-0.04,0.03,-0.06,0.05,3.76,3.63,1.25,15.8,-0.05,180.8,-10.35,2.1,2.21,5.7,39.69
200210,-0.0165,7.84,-2.9,-5.46,0.14,-5.3,-3.29,0.92,-0.2,-0.28,-0.16,-0.2,-0.23,3.82,3.93,1.41,15.89,0.19,181.2,7.84,2.14,2.33,5.7,31.14
200211,-0.0046,5.96,2.84,-1.15,0.12,-16.17,-9.14,5.16,-0.14,-0.09,-0.1,-0.21,-0.12,3.38,4.22,1.31,15.98,0.22,181.5,5.96,2.49,2.79,5.9,27.5
200212,0.0341,-5.76,0,2.25,0.11,9.65,6.05,-1.61,0.05,0.4,0.18,-0.09,-0.07,3.48,3.83,1.24,16.07,0.26,181.8,-5.76,2.52,2.82,6,28.62
200301,0.0252,-2.57,1.39,-0.93,0.1,1.62,-0.61,0.81,-0.09,0.03,-0.08,-0.23,-0.04,3.16,4,1.18,16.12,-0.07,182.6,-2.57,2.53,2.86,5.8,31.17
200302,0.0191,-1.88,-0.34,-1.46,0.09,1.25,1.04,-0.54,0.07,-0.1,-0.01,0.22,-0.02,3.21,3.71,1.11,16.17,-0.33,183.6,-1.88,2.53,2.72,5.9,29.63
200303,-0.0223,1.09,0.89,-2.09,0.1,1.61,1.81,-0.69,-0.01,0.03,-0.07,-0.01,0.06,3.04,3.83,1.06,16.22,0.18,183.9,1.09,2.56,2.66,5.9,29.15
200304,0.0123,8.22,0.57,1.03,0.1,-9.46,-4.58,1.15,-0.23,-0.11,-0.11,-0.21,-0.05,2.76,3.89,1.11,16.2,0.45,183.2,8.22,2.55,2.81,6,21.21
200305,0.0567,6.05,4.7,-0.3,0.09,-10.77,-6.92,3.22,0.19,0.25,0.15,-0.06,0.05,2.85,3.37,1.16,16.19,0.69,182.9,6.05,2.61,2.48,6.1,19.47
200306,0.0053,1.42,1.67,0.66,0.1,-1.06,0.54,-0.32,-0.05,-0.06,-0.16,0.06,-0.08,2.81,3.54,1.22,16.17,0.21,183.1,1.42,2.75,2.4,6.3,19.52
200307,0.0073,2.35,5.25,-1.15,0.07,-0.31,-4.17,1.89,0.24,0.03,0.15,-0.08,-0.22,2.58,4.49,1.13,16.31,1.12,183.7,2.35,2.76,3.06,6.2,19.49
200308,0.0186,2.34,2.6,2.03,0.07,-0.56,-2.48,2.19,-0.08,0.06,0.24,0.11,-0.13,2.46,4.45,1.13,16.45,0.57,184.5,2.34,2.7,3.48,6.1,18.63
